time,distance,speed,throttle,brake,rpm,gear,drs,x,y,z
0.0,0.0,231.45249792,100.0,0,11197.29509376,5,0,5545.234896936163,-1363.5863193019186,7255.999999999996
0.209,13.831446074844445,238.24500416,100.0,0,10891.10981248,5,0,5434.0,-1382.0,7256.0
0.263,17.431446074844445,240.0,100.0,0,10812.0,6,0,5399.979626121691,-1387.7322848687454,7256.000000000002
0.389,25.961741661753535,243.72273105454545,100.0,0,10936.281944436363,6,0,5315.0,-1402.0,7256.0
0.609,41.25313078175353,250.22273105454545,100.0,0,11153.281944436363,6,0,5167.0,-1426.0,7256.0
0.703,47.859241892864645,253.0,100.0,0,11246.0,6,0,5108.7172009216565,-1435.724831940661,7255.999999999987
0.869,59.65930588504243,255.90500224,100.0,0,11059.249856,6,0,4987.0,-1456.0,7256.0
1.089,75.53322268859799,259.75500224,100.0,0,10811.749856,6,0,4743.0,-1495.0,7256.0
1.103,76.5443337997091,260.0,100.0,0,10796.0,6,0,4730.300654133297,-1497.0301546304177,7255.999999999956
1.343,94.41100046637575,268.0,100.0,0,10322.0,6,0,4603.538629937218,-1517.6051847729584,7255.99999999828
1.509,106.9601395028202,272.1500032,100.0,0,10528.67015936,6,0,4522.0,-1531.0,7256.0
1.543,109.53847283615353,273.0,100.0,0,10571.0,7,0,4499.376201971188,-1534.691302830427,7256.000000000913
1.689,120.72856182886466,275.92000256,100.0,0,10747.66015488,7,0,4387.0,-1553.0,7256.0
1.743,124.88356182886466,277.0,100.0,0,10813.0,7,0,4345.151248130083,-1559.8426171523165,7255.999999992219
1.929,139.382089735235,280.61666915555554,100.0,0,10919.433406577778,7,0,4203.0,-1583.0,7256.0
2.103,153.1087564019017,284.0,100.0,0,11019.0,7,0,4068.9792494886906,-1604.243857230719,7256.000000123942
2.149,156.74744161434614,284.7666688,100.0,0,11044.9709056,7,0,4033.0,-1610.0,7256.0
2.329,171.13577505434617,287.7666688,100.0,0,11146.5959056,7,0,3891.0,-1633.0,7256.0
2.409,177.560219546198,289.1000021333333,100.0,0,11191.762572266667,7,0,3828.0,-1643.0,7256.0
2.583,191.67355287953137,292.0,100.0,0,11290.0,7,0,3647.976745750046,-1672.1936590787964,7255.9999399758235
2.75,205.27721054068692,293.25250048,100.0,0,11356.38252544,7,0,3477.0,-1700.0,7256.0
2.983,224.3702660962425,295.0,100.0,0,11449.0,7,0,3336.523888389029,-1721.972406242817,7256.000529225269
3.13,236.49113071224247,296.8375008,100.0,0,11501.062522666667,7,0,3249.0,-1735.0,7256.0
3.223,244.1894640455758,298.0,100.0,0,11534.0,7,0,3177.6534251709613,-1745.5404248226537,7255.998998679073
3.39,258.09082240859806,299.67000064,100.0,0,11631.69503744,7,0,3036.0,-1766.0,7256.0
3.423,260.84082240859806,300.0,100.0,0,11651.0,7,0,3009.85398759067,-1769.6217481575222,7256.00153482669
3.549,271.38790431768433,301.34519740246486,100.0,0,11585.085327279221,7,0,2904.0,-1784.0,7256.0
3.704,284.4337376510177,303.0,100.0,0,11504.0,7,0,2709.2782711784253,-1811.0378561255543,7255.937837931614
3.809,293.22748757101766,301.49999725714287,100.0,0,11438.37488,7,0,2588.0,-1828.0,7256.0
3.984,307.7622097932399,299.0,100.0,0,11329.0,7,0,2477.193052283893,-1843.5598253622447,7256.48364897234
4.169,323.0482629517584,297.45833173333335,100.0,0,11219.541553066667,7,0,2391.0,-1855.0,7257.0
4.224,327.5857629517584,297.0,100.0,0,11187.0,7,0,2352.036102542701,-1859.9719097242173,7257.047622053851
4.409,342.135241378425,283.1249856,89.72221155555556,0,11388.444653511111,7,0,2197.0,-1881.0,7257.0
4.449,345.247741218425,280.1249856,87.49998933333333,0,11432.000209066666,7,0,2166.0,-1886.0,7257.0
4.584,355.372741218425,270.0,80.0,1,11579.0,7,0,2063.9381715209006,-1900.4917838098406,7257.000712833922
4.709,364.2210959666108,254.83261674775116,38.158942752417005,1,11066.44704871711,7,0,1974.0,-1912.0,7257.0
4.823,371.8527626332775,241.0,0.0,1,10599.0,7,0,1897.1274956981874,-1922.1943209240544,7256.9998502313265
5.029,383.77691888098116,208.38331306666666,0.0,1,9526.941000533334,7,0,1770.0,-1940.0,7257.0
5.063,385.6941411032034,203.0,0.0,1,9350.0,7,0,1750.353197762764,-1942.8830540520264,7256.99993349302
5.209,393.55684911209227,193.874992,0.0,1,9605.500224,7,0,1670.0,-1955.0,7257.0
5.223,394.30740466764786,193.0,0.0,1,9630.0,7,0,1662.5972684045082,-1956.1257629890824,7257.000141325789
5.383,402.08518244542563,175.0,0.0,1,9928.0,7,0,1581.5733762690509,-1968.8151353876901,7257.001185162288
5.409,403.33592682515894,173.17999104,0.0,1,10030.31050368,7,0,1569.0,-1971.0,7257.0
5.583,411.11759349182563,161.0,0.0,1,10715.0,7,0,1489.3146465680154,-1986.8592671200743,7256.985612662843
5.649,414.02691007635894,158.68999552,0.0,1,11177.000896,7,0,1462.0,-1993.0,7257.0
5.783,419.75913229858116,154.0,0.0,1,12115.0,7,0,1411.5829310997187,-2005.7935879450079,7257.067966386127
5.849,422.51440299991447,150.2874928,0.0,1,12044.0498624,7,0,1384.0,-2016.0,7257.0
5.943,426.30051411102556,145.0,0.0,1,11943.0,6,0,1337.770153834274,-2037.7129507350014,7256.699831288588
6.089,431.90968516939597,138.30832746666667,0.0,1,11456.332906666667,6,0,1269.0,-2076.0,7256.0
6.183,435.40857405828484,134.0,0.0,1,11143.0,4,0,1243.8278215085197,-2092.736333782817,7255.613417922487
6.409,443.46610163517374,128.3499968,0.0,1,10635.4413792,4,0,1218.0,-2123.0,7255.0
6.423,443.96387941295154,128.0,0.0,1,10604.0,2,0,1215.9023492545107,-2125.6418459546394,7254.983188515068
6.689,452.9302958431738,121.3499968,0.0,1,10223.2873168,2,0,1163.0,-2203.0,7255.0
6.903,459.8258513987293,116.0,0.0,0,9917.0,2,0,1121.75355094492,-2305.8648362807376,7255.000140792444
6.909,460.019134730996,115.96999936,1.0500224,0,9923.78014464,2,0,1121.0,-2308.0,7255.0
7.103,466.21635695321817,115.0,35.0,0,10143.0,2,0,1110.8420099997188,-2343.827198523174,7255.004280355168
7.189,468.9738514129515,115.43000064,24.249984,0,9905.63964672,2,0,1107.0,-2360.0,7255.0
7.303,472.64718474628484,116.0,10.0,0,9591.0,2,0,1097.5962609373983,-2394.360753980937,7254.981479010183
